Unnamed: 0,productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,sinr0,sinr1,sinr2,sinr3,rsrq,rsrq1,rsrq2,rsrq3,rssi,rssi0,rssi1,rssi2,rssi3,distance
170236,CPE12000SG,TLR001052820,9/2/22 20:00,170236,WLTGG-122,1.001E+12,192.168.203.46,2194743,2,-999999,-98.3,-94.1,-92,-94.5,10,15.3,17.4,14.4,-10.9,-10.3,-9.8,-9.6,-63,,,,,371
170237,CPE12000SG,TLR001061822,9/2/22 20:00,170237,WLTGG-122,1.001E+12,192.168.203.36,456794,2,-3.1,-83,-81.7,-83.3,-84.9,18.8,21.8,20.2,18.6,-9.1,-9.5,-9.6,-9.1,-52,,,,,605
170225,CPE12000SG,TLR001052281,9/2/22 20:00,170225,WLTGG-122,1.001E+12,192.168.203.25,7284,1,-999999,-83,-80.1,-82.3,-85.1,24.2,22.7,21,22.9,-8.7,-9.1,-9.2,-8.6,-48,,,,,195
170224,CPE12000SG,TLR001052550,9/2/22 20:00,170224,WLTGG-122,1.001E+12,192.168.203.35,1732545,2,6.6,-105.2,-100.5,-102.2,-102.7,19,20.8,18.2,19.8,-9.2,-9.9,-9.9,-9.1,-71,,,,,488
170246,CPE12000SG,TLR001048674,9/2/22 20:00,170246,WLTGG-122,1.001E+12,192.168.203.11,10549963,1,7.4,-105,-101.5,-95.4,-96.8,13.4,17.2,22.5,23.1,-10,-9.1,-9.3,-9.1,-66,,,,,78
170247,CPE12300,21140003126,9/2/22 20:00,170247,CPE12300HG,1.001E+12,192.168.203.44,708427,2,15.9,-121.4,-126.3,-122.2,-119.2,6.6,1.1,5.4,8.9,-11.1,-13.8,-11.6,-10.5,-89,-90.7,-93.3,-90.9,-88.8,371
170260,CPE12000SG,TLR001023730,9/2/22 20:00,170260,WLTGG-122,1.001E+12,192.168.203.21,,,,,,,,,,,,,,,,,,,,,
170259,CPE12000SG,TLR001052745,9/2/22 20:00,170259,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
170258,CPE12000SG,TLR001052770,9/2/22 20:00,170258,WLTGG-122,1.001E+12,192.168.203.43,,,,,,,,,,,,,,,,,,,,,
170238,CPE12000SG,TLR001052985,9/2/22 20:00,170238,WLTGG-122,1.001E+12,192.168.203.38,2106353,1,-999999,-111.8,-105.5,-101.2,-103.6,13.4,17.6,20.4,19.6,-9.4,-9.3,-9.2,-9.6,-71,,,,,371
170257,CPE12000SG,TLR001023657,9/2/22 20:00,170257,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
170256,CPE12000SG,TLR001021183,9/2/22 20:00,170256,WLTGG-122,1.001E+12,192.168.203.16,,,,,,,,,,,,,,,,,,,,,
170255,CPE12000SG,TLR001052382,9/2/22 20:00,170255,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
170254,CPE12000SG,TLR001052354,9/2/22 20:00,170254,WLTGG-122,1.001E+12,192.168.203.22,2197492,3,-999999,-98.1,-95.9,-95.7,-93.8,19.5,20.9,20.3,25.4,-9,-9,-8.9,-9.2,-65,,,,,605
170253,CPE12000SG,TLR001023697,9/2/22 20:00,170253,WLTGG-122,1.001E+12,192.168.203.10,2197492,2,7.6,-97.7,-96.2,-96.7,-101.5,22.3,23.8,19.5,17.3,-9,-9.3,-9.3,-9.2,-67,,,,,605
170252,CPE12000SG,TLR001023930,9/2/22 20:00,170252,WLTGG-122,1.001E+12,192.168.203.18,10544441,2,-999999,-96.6,-95.1,-94.3,-98.7,20.5,21.7,20.5,17.9,-9.2,-9.7,-9.3,-9.3,-65,,,,,488
170251,CPE12000SG,TLR001062014,9/2/22 20:00,170251,WLTGG-122,1.001E+12,192.168.203.39,549014,2,-999999,-89.3,-87.1,-85.9,-87,18.1,18.2,18.2,19.7,-9.1,-10,-9.9,-9.1,-56,,,,,605
170250,CPE12000SG,TLR001052293,9/2/22 20:00,170250,WLTGG-122,1.001E+12,192.168.203.40,4179700,2,-4.1,-82.4,-79.9,-80.1,-83,19.2,21.9,23.3,22,-9,-9.5,-9.5,-9,-52,,,,,605
170249,CPE12000SG,TLR001052912,9/2/22 20:00,170249,WLTGG-122,1.001E+12,192.168.203.29,,3,,,,,,,,,,,,,,,,,,,488
170248,CPE12000SG,TLR001024707,9/2/22 20:00,170248,WLTGG-122,1.001E+12,192.168.203.17,5065855,1,-999999,-103.1,-98.6,-100.1,-109.4,22.5,25.4,22.4,16,-9.1,-9.1,-9.1,-9.4,-69,,,,,371
170241,CPE12000SG,TLR001052983,9/2/22 20:00,170241,WLTGG-122,1.001E+12,192.168.203.27,,1,,,,,,,,,,,,,,,,,,,195
170242,CPE12000SG,TLR001052332,9/2/22 20:00,170242,WLTGG-122,1.001E+12,192.168.203.32,,1,,,,,,,,,,,,,,,,,,,605
170243,CPE12000SG,TLR001021226,9/2/22 20:00,170243,WLTGG-122,1.001E+12,192.168.203.13,4930905,2,-999999,-110.1,-114.9,-111.9,-110.1,17.2,11.7,14,16.5,-9.2,-9.5,-9.3,-8.8,-81,,,,,605
170239,CPE12000SG,TLR001052687,9/2/22 20:00,170239,WLTGG-122,1.001E+12,192.168.203.34,10544441,1,-999999,-96.2,-97.8,-93.9,-93.4,20.9,17.2,22.3,25.5,-9.2,-8.6,-8.4,-9.4,-64,,,,,371
170240,CPE12000SG,TLR001024748,9/2/22 20:00,170240,WLTGG-122,1.001E+12,192.168.203.12,2197493,2,-999999,-114.4,-107.8,-107.5,-108.6,10.6,16.5,14.3,15.2,-10,-9.7,-9.4,-9.5,-78,,,,,605
170230,CPE12000SG,TLR001024549,9/2/22 20:00,170230,WLTGG-122,1.001E+12,192.168.203.19,10549963,1,-999999,-91.3,-95.3,-93.9,-94.6,19.3,17,18.3,20,-9.2,-9.2,-9.4,-9.2,-62,,,,,195
170229,CPE12000SG,TLR001062295,9/2/22 20:00,170229,WLTGG-122,1.001E+12,192.168.203.26,2197493,3,7.9,-94.3,-99.3,-106.3,-101.2,25.3,20.2,14.5,18.5,-9.1,-9.1,-9.4,-8.9,-65,,,,,605
170228,CPE12300,21140000512,9/2/22 20:00,170228,CPE12300HG,1.001E+12,192.168.203.41,86147,1,5.9,-110.6,-96.4,-97.7,-102.8,10.5,22.5,19,15.7,-10.1,-8.3,-9.7,-8.9,-68,-79.5,-66.7,-67,-72.7,371
170244,CPE9000,GMK180819003927,9/2/22 20:00,170244,WLTMS-110,1.001E+12,192.168.203.47,706607,2,8,-100,-102,,,17,16,,,-9,,,,,,,,,605
170245,CPE12000SG,TLR001025025,9/2/22 20:00,170245,WLTGG-122,1.001E+12,192.168.203.14,3059802,1,-999999,-92.3,-92.4,-90.6,-92.4,26.2,25.2,25.7,24.5,-9.1,-9,-9,-9,-62,,,,,195
170231,CPE12000SG,TLR001052420,9/2/22 20:00,170231,WLTGG-122,1.001E+12,192.168.203.23,358804,1,7.4,-97.5,-97.2,-95.6,-97.2,23.6,25,26,25.9,-8.9,-9.1,-9,-8.9,-65,,,,,605
170232,CPE12000SG,TLR001052312,9/2/22 20:00,170232,WLTGG-122,1.001E+12,192.168.203.24,352459,2,-999999,-110.4,-118,-110.9,-108.8,16.7,9.6,12.5,16.3,-8.8,-9.7,-9.6,-9.2,-80,,,,,605
170233,CPE12300,21140007371,9/2/22 20:00,170233,CPE12300XG,1.001E+12,192.168.203.33,708422,1,8.6,-108.3,-110.9,0,0,15.1,8.8,0,0,-10,-10.3,0,0,-79,-77.4,-79.5,0,0,488
170234,CPE12000SG,TLR001052427,9/2/22 20:00,170234,WLTGG-122,1.001E+12,192.168.203.42,4478406,2,-999999,-99.3,-100.4,-104.4,-106.4,23.3,21.8,16.2,15.3,-8.8,-9.3,-9.5,-9.2,-71,,,,,605
170235,CPE12000SG,TLR001024016,9/2/22 20:00,170235,WLTGG-122,1.001E+12,192.168.203.20,,1,,,,,,,,,,,,,,,,,,,78
170227,CPE12000SG,TLR001061848,9/2/22 20:00,170227,WLTGG-122,1.001E+12,192.168.203.37,9939102,2,-999999,-82.1,-78.8,-76.7,-78.3,17.5,20.6,22.6,19.6,-9,-9.5,-9.6,-9,-47,,,,,605
170226,CPE12000SG,TLR001052247,9/2/22 20:00,170226,WLTGG-122,1.001E+12,192.168.203.28,10549964,2,5.9,-91.8,-89.9,-93.3,-96.3,19.7,20.6,18.6,17.4,-9,-9.4,-9.5,-9.3,-61,,,,,78
170196,CPE12300,21140007371,9/2/22 19:00,170196,CPE12300XG,1.001E+12,192.168.203.33,704822,1,9.2,-110,-110.7,0,0,13.9,9.3,0,0,-10,-10.2,0,0,-79,-80.4,-80.9,0,0,488
170209,CPE12000SG,TLR001048674,9/2/22 19:00,170209,WLTGG-122,1.001E+12,192.168.203.11,10546363,1,7.8,-105.3,-101.2,-95.7,-97.6,13.1,17.2,21.4,21.7,-9.1,-9,-9.2,-9,-66,,,,,78
170208,CPE12000SG,TLR001024748,9/2/22 19:00,170208,WLTGG-122,1.001E+12,192.168.203.12,2193894,2,-999999,-113.4,-107.4,-106,-106.4,13.1,16.8,16.1,17.9,-9.8,-9.6,-9.3,-9.4,-74,,,,,605
170207,CPE12000SG,TLR001025025,9/2/22 19:00,170207,WLTGG-122,1.001E+12,192.168.203.14,3056202,1,-999999,-93.2,-94.4,-91.2,-92,25.4,24.3,26,24.5,-9,-9,-8.8,-8.9,-63,,,,,195
170206,CPE9000,GMK180819003927,9/2/22 19:00,170206,WLTMS-110,1.001E+12,192.168.203.47,703007,2,8,-100,-102,,,17,16,,,-10,,,,,,,,,605
170205,CPE12000SG,TLR001052332,9/2/22 19:00,170205,WLTGG-122,1.001E+12,192.168.203.32,,1,,,,,,,,,,,,,,,,,,,605
170204,CPE12000SG,TLR001052983,9/2/22 19:00,170204,WLTGG-122,1.001E+12,192.168.203.27,,1,,,,,,,,,,,,,,,,,,,195
170203,CPE12000SG,TLR001021226,9/2/22 19:00,170203,WLTGG-122,1.001E+12,192.168.203.13,4927304,2,-999999,-111.6,-115.9,-107.9,-109.7,16.4,11.5,17.2,16.9,-9.3,-9.7,-9,-8.6,-80,,,,,605
170202,CPE12000SG,TLR001052687,9/2/22 19:00,170202,WLTGG-122,1.001E+12,192.168.203.34,10540841,1,-999999,-95.6,-97,-93.4,-93.2,21.5,17.4,21.7,25.3,-9.2,-8.5,-8.4,-9.5,-64,,,,,371
170201,CPE12000SG,TLR001052985,9/2/22 19:00,170201,WLTGG-122,1.001E+12,192.168.203.38,2102753,1,-999999,-110.9,-104.7,-99.9,-103.4,13.8,17.2,20.8,19.3,-9.2,-9.1,-8.9,-9.5,-71,,,,,371
170187,CPE12000SG,TLR001052550,9/2/22 19:00,170187,WLTGG-122,1.001E+12,192.168.203.35,1728943,2,9.7,-105.7,-99.1,-100.3,-101.7,18.8,22.6,19.5,20,-9.6,-9.9,-10.3,-9.6,-69,,,,,488
170188,CPE12000SG,TLR001052281,9/2/22 19:00,170188,WLTGG-122,1.001E+12,192.168.203.25,3684,1,-999999,-82.6,-79.8,-82.4,-84.7,24.7,23.3,22,23.8,-8.8,-9.1,-9,-8.8,-51,,,,,195
170189,CPE12000SG,TLR001052247,9/2/22 19:00,170189,WLTGG-122,1.001E+12,192.168.203.28,10546364,2,4.9,-91.3,-89.8,-93.3,-95.8,20.3,21,19,17.9,-9,-9.5,-9.6,-9.5,-61,,,,,78
170190,CPE12000SG,TLR001061848,9/2/22 19:00,170190,WLTGG-122,1.001E+12,192.168.203.37,9935501,2,-999999,-82.7,-79.3,-77.1,-78.8,17.4,20.3,22.4,19.4,-9.1,-9.4,-9.6,-9.1,-48,,,,,605
170191,CPE12300,21140000512,9/2/22 19:00,170191,CPE12300HG,1.001E+12,192.168.203.41,82547,1,7.9,-111.7,-97.2,-97.7,-101.4,10.5,22.7,19.5,17,-9.9,-8.3,-9.6,-8.7,-69,-81.9,-69.3,-68.4,-73,371
170192,CPE12000SG,TLR001062295,9/2/22 19:00,170192,WLTGG-122,1.001E+12,192.168.203.26,2193893,3,4.9,-94.1,-97.4,-105.1,-100.5,23.7,19.7,13.8,19.3,-9.1,-9,-9.5,-8.9,-65,,,,,605
170193,CPE12000SG,TLR001024549,9/2/22 19:00,170193,WLTGG-122,1.001E+12,192.168.203.19,10546363,1,-999999,-90.5,-94.8,-92.9,-94.8,19.8,17.4,18.3,19.5,-9,-9.2,-9.3,-9.2,-62,,,,,195
170220,CPE12000SG,TLR001023657,9/2/22 19:00,170220,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
170221,CPE12000SG,TLR001052312,9/2/22 19:00,170221,WLTGG-122,1.001E+12,192.168.203.24,348859,,-999999,-110.2,-117.7,-110.1,-108,15.1,10,10.7,15.7,-9.1,-9.6,-9.7,-9.2,-79,,,,,
170222,CPE12000SG,TLR001052745,9/2/22 19:00,170222,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
170223,CPE12000SG,TLR001023730,9/2/22 19:00,170223,WLTGG-122,1.001E+12,192.168.203.21,,,,,,,,,,,,,,,,,,,,,
170219,CPE12000SG,TLR001021183,9/2/22 19:00,170219,WLTGG-122,1.001E+12,192.168.203.16,,,,,,,,,,,,,,,,,,,,,
170218,CPE12000SG,TLR001052382,9/2/22 19:00,170218,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
170194,CPE12000SG,TLR001052420,9/2/22 19:00,170194,WLTGG-122,1.001E+12,192.168.203.23,355205,1,15.4,-97.3,-97,-94.9,-96.6,23.8,24.9,26.3,26.3,-8.9,-9,-9,-8.9,-66,,,,,605
170195,CPE12000SG,TLR001052770,9/2/22 19:00,170195,WLTGG-122,1.001E+12,192.168.203.43,,2,,,,,,,,,,,,,,,,,,,605
170213,CPE12000SG,TLR001052293,9/2/22 19:00,170213,WLTGG-122,1.001E+12,192.168.203.40,4176097,2,-4.5,-82.5,-80.4,-79.9,-82.9,19.6,21.7,23.3,22,-9,-9.5,-9.4,-9,-51,,,,,605
170197,CPE12000SG,TLR001052427,9/2/22 19:00,170197,WLTGG-122,1.001E+12,192.168.203.42,4474806,2,5.4,-99,-99.8,-104.4,-105.8,23.3,21.8,16.1,15.5,-8.9,-9.4,-9.5,-9.2,-70,,,,,605
170210,CPE12300,21140003126,9/2/22 19:00,170210,CPE12300HG,1.001E+12,192.168.203.44,704827,2,14.9,-119.9,-125.5,-122,-120.4,8.5,2.5,5.7,7.7,-10.6,-12.6,-11.6,-10.9,-89,-89.6,-93.3,-90.8,-89.8,371
170198,CPE12000SG,TLR001024016,9/2/22 19:00,170198,WLTGG-122,1.001E+12,192.168.203.20,,1,,,,,,,,,,,,,,,,,,,78
170199,CPE12000SG,TLR001052820,9/2/22 19:00,170199,WLTGG-122,1.001E+12,192.168.203.46,2191143,2,-999999,-97.6,-93.3,-91.5,-93.5,11.4,17,18.3,15.6,-10.6,-10.1,-9.9,-9.6,-62,,,,,371
170200,CPE12000SG,TLR001061822,9/2/22 19:00,170200,WLTGG-122,1.001E+12,192.168.203.36,453194,2,-2.5,-83,-81.8,-83.3,-85,18.7,21.4,20.1,18.4,-9.1,-9.6,-9.7,-9.2,-52,,,,,605
170217,CPE12000SG,TLR001052354,9/2/22 19:00,170217,WLTGG-122,1.001E+12,192.168.203.22,2193892,3,-999999,-98.2,-96,-95.3,-93.5,18.3,20.2,20.1,25.2,-9.1,-9,-8.8,-9.1,-65,,,,,605
170216,CPE12000SG,TLR001023697,9/2/22 19:00,170216,WLTGG-122,1.001E+12,192.168.203.10,2193892,2,7.6,-98,-96.4,-98.4,-101.3,21.6,23,17.6,17.4,-9.2,-9.4,-9.5,-9.1,-67,,,,,605
170215,CPE12000SG,TLR001023930,9/2/22 19:00,170215,WLTGG-122,1.001E+12,192.168.203.18,10540841,2,-999999,-96.6,-95.1,-94.9,-99.3,19.9,21.1,20.4,17.6,-9.4,-9.7,-9.4,-9.4,-66,,,,,488
170214,CPE12000SG,TLR001062014,9/2/22 19:00,170214,WLTGG-122,1.001E+12,192.168.203.39,545414,2,-999999,-89.2,-86.7,-85.9,-86.6,18.3,18.4,18.2,20.2,-9.1,-9.9,-9.8,-8.9,-56,,,,,605
170211,CPE12000SG,TLR001024707,9/2/22 19:00,170211,WLTGG-122,1.001E+12,192.168.203.17,5062255,1,5.6,-102.1,-99.6,-99.2,-104,23.1,24.5,24,20.1,-8.9,-9,-9,-9.1,-70,,,,,371
170212,CPE12000SG,TLR001052912,9/2/22 19:00,170212,WLTGG-122,1.001E+12,192.168.203.29,,3,,,,,,,,,,,,,,,,,,,488
170183,CPE12000SG,TLR001021183,9/2/22 18:00,170183,WLTGG-122,1.001E+12,192.168.203.16,,,,,,,,,,,,,,,,,,,,,
170184,CPE12000SG,TLR001023657,9/2/22 18:00,170184,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
170185,CPE12000SG,TLR001052745,9/2/22 18:00,170185,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
170186,CPE12000SG,TLR001023730,9/2/22 18:00,170186,WLTGG-122,1.001E+12,192.168.203.21,,,,,,,,,,,,,,,,,,,,,
170157,CPE12000SG,TLR001052420,9/2/22 18:00,170157,WLTGG-122,1.001E+12,192.168.203.23,351605,1,3.9,-97.1,-96.9,-95.6,-97.4,23.6,24.2,25.9,25.8,-8.7,-8.9,-8.9,-8.7,-67,,,,,605
170156,CPE12000SG,TLR001024549,9/2/22 18:00,170156,WLTGG-122,1.001E+12,192.168.203.19,10542763,1,-999999,-91.3,-95.2,-93.3,-94.4,19.3,17.2,18.5,19.1,-9.2,-9.2,-9.3,-9.1,-62,,,,,195
170155,CPE12000SG,TLR001062295,9/2/22 18:00,170155,WLTGG-122,1.001E+12,192.168.203.26,2190293,3,-999999,-95.2,-100,-106.6,-99.1,22.6,19,13.4,21.1,-9.5,-9.4,-9.7,-9.3,-66,,,,,605
170175,CPE12000SG,TLR001024707,9/2/22 18:00,170175,WLTGG-122,1.001E+12,192.168.203.17,5058655,1,-999999,-103.5,-98.4,-99.4,-105.7,22.3,25.3,22.2,18.2,-9,-9,-9,-9,-70,,,,,371
170176,CPE12000SG,TLR001052912,9/2/22 18:00,170176,WLTGG-122,1.001E+12,192.168.203.29,,3,,,,,,,,,,,,,,,,,,,488
