Unnamed: 0,productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,sinr0,sinr1,sinr2,sinr3,rsrq,rsrq1,rsrq2,rsrq3,rssi,rssi0,rssi1,rssi2,rssi3,distance
150393,CPE12000SG,TLR001052550,8/11/22 20:00,150393,WLTGG-122,1.001E+12,192.168.203.35,,,,,,,,,,,,,,,,,,,,,
150392,CPE12000SG,TLR001061848,8/11/22 20:00,150392,WLTGG-122,1.001E+12,192.168.203.37,8038302,,-7.5,-83.1,-79.5,-77.3,-79.4,5,5.7,6.7,5.5,-10.4,-10.5,-10.4,-10.3,-47,,,,,
150391,CPE12000SG,TLR001023730,8/11/22 20:00,150391,WLTGG-122,1.001E+12,192.168.203.21,,,,,,,,,,,,,,,,,,,,,
150390,CPE12300,21140000512,8/11/22 20:00,150390,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
150389,CPE12000SG,TLR001052745,8/11/22 20:00,150389,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
150388,CPE12000SG,TLR001052427,8/11/22 20:00,150388,WLTGG-122,1.001E+12,192.168.203.42,,,,,,,,,,,,,,,,,,,,,
150387,CPE12000SG,TLR001052312,8/11/22 20:00,150387,WLTGG-122,1.001E+12,192.168.203.24,,,,,,,,,,,,,,,,,,,,,
150386,CPE12000SG,TLR001023657,8/11/22 20:00,150386,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
150385,CPE12000SG,TLR001024874,8/11/22 20:00,150385,WLTGG-122,1.001E+12,192.168.203.45,,,,,,,,,,,,,,,,,,,,,
150384,CPE12000SG,TLR001024549,8/11/22 20:00,150384,WLTGG-122,1.001E+12,192.168.203.19,,,,,,,,,,,,,,,,,,,,,
150383,CPE12000SG,TLR001052382,8/11/22 20:00,150383,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
150382,CPE9000,GMK180819003927,8/11/22 20:00,150382,WLTMS-110,1.001E+12,192.168.203.31,,,,,,,,,,,,,,,,,,,,,
150381,CPE12300,21140007371,8/11/22 20:00,150381,CPE12300XG,1.001E+12,192.168.203.33,2203410,1,18.1,-104.2,-106.3,0,0,9.9,4.5,0,0,-9.8,-10.9,0,0,-74,-74.3,-75.3,0,0,605
150380,CPE12000SG,TLR001052983,8/11/22 20:00,150380,WLTGG-122,1.001E+12,192.168.203.27,427824,1,0.1,-86.5,-87.8,-88.4,-87.3,18,14.4,14.7,16.5,-15,-14.5,-14.6,-14.8,-56,,,,,195
150379,CPE12000SG,TLR001052293,8/11/22 20:00,150379,WLTGG-122,1.001E+12,192.168.203.40,2278896,2,0.7,-83.2,-81,-81.8,-85.4,4.7,5.9,4.7,4.2,-11,-10.6,-10.9,-11.1,-51,,,,,605
150378,CPE12000SG,TLR001052332,8/11/22 20:00,150378,WLTGG-122,1.001E+12,192.168.203.32,,1,,,,,,,,,,,,,,,,,,,371
150377,CPE12000SG,TLR001021226,8/11/22 20:00,150377,WLTGG-122,1.001E+12,192.168.203.13,3030108,2,21.8,-117.5,-113.8,-113.9,-112.6,6.3,8.8,7.5,11.1,-11.6,-10.7,-11.5,-10.1,-78,,,,,605
