Unnamed: 0,productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,sinr0,sinr1,sinr2,sinr3,rsrq,rsrq1,rsrq2,rsrq3,rssi,rssi0,rssi1,rssi2,rssi3,distance
205744,CPE12000SG,TLR001052293,10/12/22 20:00,205744,WLTGG-122,1.001E+12,192.168.203.40,7635696,2,-999999,-83.2,-81.2,-80.3,-83.1,18.4,21.2,21.4,20.2,-9.3,-9.4,-9.4,-9.1,-51,,,,,605
205780,CPE12000SG,TLR001052550,10/12/22 20:00,205780,WLTGG-122,1.001E+12,192.168.203.35,,,,,,,,,,,,,,,,,,,,,
205779,CPE12000SG,TLR001061848,10/12/22 20:00,205779,WLTGG-122,1.001E+12,192.168.203.37,,,,,,,,,,,,,,,,,,,,,
205778,CPE12000SG,TLR001061822,10/12/22 20:00,205778,WLTGG-122,1.001E+12,192.168.203.36,,,,,,,,,,,,,,,,,,,,,
205777,CPE12000SG,TLR001062014,10/12/22 20:00,205777,WLTGG-122,1.001E+12,192.168.203.39,,,,,,,,,,,,,,,,,,,,,
205776,CPE12000SG,TLR001052985,10/12/22 20:00,205776,WLTGG-122,1.001E+12,192.168.203.38,357357,,14.4,-106.8,-100.1,-99.4,-103.9,16.7,18.4,19.3,16.9,-9.6,-9.2,-9.5,-9.8,-68,,,,,
205775,CPE12000SG,TLR001023730,10/12/22 20:00,205775,WLTGG-122,1.001E+12,192.168.203.21,,,,,,,,,,,,,,,,,,,,,
205774,CPE12300,21140000512,10/12/22 20:00,205774,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
205773,CPE12000SG,TLR001052745,10/12/22 20:00,205773,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
205772,CPE12000SG,TLR001052427,10/12/22 20:00,205772,WLTGG-122,1.001E+12,192.168.203.42,,,,,,,,,,,,,,,,,,,,,
205771,CPE12000SG,TLR001052420,10/12/22 20:00,205771,WLTGG-122,1.001E+12,192.168.203.23,907962,,6.2,-98,-95.8,-95.5,-99.3,22.8,22.3,23.7,24.4,-8.7,-8.8,-8.9,-8.8,-63,,,,,
205770,CPE12000SG,TLR001052770,10/12/22 20:00,205770,WLTGG-122,1.001E+12,192.168.203.43,,,,,,,,,,,,,,,,,,,,,
205769,CPE12000SG,TLR001052312,10/12/22 20:00,205769,WLTGG-122,1.001E+12,192.168.203.24,,,,,,,,,,,,,,,,,,,,,
205757,CPE12000SG,TLR001024016,10/12/22 20:00,205757,WLTGG-122,1.001E+12,192.168.203.20,,,,,,,,,,,,,,,,,,,,,
205756,CPE12000SG,TLR001052382,10/12/22 20:00,205756,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
205755,CPE12000SG,TLR001052912,10/12/22 20:00,205755,WLTGG-122,1.001E+12,192.168.203.29,,,,,,,,,,,,,,,,,,,,,
205754,CPE12000SG,TLR001052332,10/12/22 20:00,205754,WLTGG-122,1.001E+12,192.168.203.32,,,,,,,,,,,,,,,,,,,,,
205753,CPE12000SG,TLR001052687,10/12/22 20:00,205753,WLTGG-122,1.001E+12,192.168.203.34,539692,,-999999,-92.3,-94.5,-92.4,-93.3,22.1,19.1,19.9,22.4,-9.4,-8.4,-8.3,-9.3,-63,,,,,
205752,CPE12300,21140007371,10/12/22 20:00,205752,CPE12300XG,1.001E+12,192.168.203.33,912957,,7.5,-104.6,-106.7,0,0,16.9,11,0,0,-9.7,-9.6,0,0,-76,-72.9,-75.6,0,0,
205751,CPE12000SG,TLR001023697,10/12/22 20:00,205751,WLTGG-122,1.001E+12,192.168.203.10,30220,2,7.7,-99.2,-97.9,-99.1,-102.6,7.3,7.4,6.9,4.7,-9.6,-9.6,-9.9,-9.8,-69,,,,,488
205750,CPE9000,GMK180819003927,10/12/22 20:00,205750,WLTMS-110,1.001E+12,192.168.203.47,4162607,2,12,-96,-96,,,10,9,,,-10,,,,,,,,,605
205749,CPE12000SG,TLR001024748,10/12/22 20:00,205749,WLTGG-122,1.001E+12,192.168.203.12,3115115,2,16.9,-112.3,-107.9,-108.6,-111,-1.2,3,0.2,0.1,-11.9,-10.6,-10.8,-11.3,-76,,,,,605
205748,CPE12000SG,TLR001021183,10/12/22 20:00,205748,WLTGG-122,1.001E+12,192.168.203.16,1221741,2,10.3,-111.3,-106,-106.3,-108.2,-1,-0.6,-4.5,-1.7,-12.8,-13,-14.3,-13.6,-73,,,,,605
205747,CPE12000SG,TLR001052247,10/12/22 20:00,205747,WLTGG-122,1.001E+12,192.168.203.28,14005963,2,6.9,-91.9,-90.9,-93.8,-96.8,19.7,19.6,17.8,16.5,-9.2,-9.6,-9.7,-9.5,-62,,,,,78
205746,CPE12000SG,TLR001023930,10/12/22 20:00,205746,WLTGG-122,1.001E+12,192.168.203.18,14000441,2,-999999,-93.2,-92.5,-88.9,-94,16.1,16,19.2,15.3,-9.2,-9.7,-9.5,-9.1,-59,,,,,488
205745,CPE12000SG,TLR001052820,10/12/22 20:00,205745,WLTGG-122,1.001E+12,192.168.203.46,5650745,2,17.1,-99.4,-93.7,-94.2,-96.4,8.3,14,12.8,10.7,-11.1,-10,-10,-10.4,-64,,,,,371
205758,CPE12000SG,TLR001025025,10/12/22 20:00,205758,WLTGG-122,1.001E+12,192.168.203.14,,,,,,,,,,,,,,,,,,,,,
205759,CPE12000SG,TLR001024549,10/12/22 20:00,205759,WLTGG-122,1.001E+12,192.168.203.19,,,,,,,,,,,,,,,,,,,,,
205760,CPE12000SG,TLR001052983,10/12/22 20:00,205760,WLTGG-122,1.001E+12,192.168.203.27,,,,,,,,,,,,,,,,,,,,,
205761,CPE12000SG,TLR001052354,10/12/22 20:00,205761,WLTGG-122,1.001E+12,192.168.203.22,,,,,,,,,,,,,,,,,,,,,
