datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),wind_speed (m/s),surface_pressure (Pa)
2022-07-12 00:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,24.51,17.30,3.62,98058.12
2022-07-12 01:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,24.14,17.68,5.19,98106.13
2022-07-12 02:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.78,18.04,6.00,98142.55
2022-07-12 03:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.08,18.41,5.63,98070.22
2022-07-12 04:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.58,18.13,6.09,98027.10
2022-07-12 05:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.28,18.35,6.96,98010.20
2022-07-12 06:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,22.41,19.23,7.46,97954.57
2022-07-12 07:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,21.73,19.58,7.67,97911.31
2022-07-12 08:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,21.66,19.35,7.55,97879.68
2022-07-12 09:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,21.55,18.88,7.60,97863.63
2022-07-12 10:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,20.83,19.07,6.48,97846.05
2022-07-12 11:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,20.60,19.15,5.93,97855.55
2022-07-12 12:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,20.90,19.03,5.66,97866.00
2022-07-12 13:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,21.45,18.92,5.82,97929.04
2022-07-12 14:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,22.19,18.81,6.10,97973.00
2022-07-12 15:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.24,18.16,6.51,97990.46
2022-07-12 16:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.54,17.35,6.96,98029.62
2022-07-12 17:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,24.01,17.14,7.35,98048.27
2022-07-12 18:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,24.15,17.10,7.24,98087.03
2022-07-12 19:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.44,17.19,7.17,98134.39
2022-07-12 20:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.83,16.98,6.75,98190.26
2022-07-12 21:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.54,16.80,6.10,98205.52
2022-07-12 22:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.21,16.71,3.67,98233.30
2022-07-12 23:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.07,16.72,2.98,98283.83
2022-07-13 00:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,22.52,16.60,2.94,98355.18
2022-07-13 01:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,21.71,16.46,2.18,98404.49
2022-07-13 02:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,21.16,16.51,1.42,98477.73
2022-07-13 03:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,20.04,16.34,1.32,98522.51
2022-07-13 04:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,19.60,16.45,1.28,98554.46
2022-07-13 05:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,18.76,16.43,1.19,98579.59
2022-07-13 06:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,18.17,16.10,1.22,98627.27
2022-07-13 07:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,18.18,16.28,1.41,98656.97
2022-07-13 08:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,18.02,16.16,1.31,98679.35
2022-07-13 09:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,17.75,16.01,1.30,98685.42
2022-07-13 10:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,18.60,16.69,0.72,98729.06
2022-07-13 11:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,18.60,16.81,0.05,98758.00
2022-07-13 12:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,19.44,16.68,0.20,98773.18
2022-07-13 13:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,20.36,16.30,0.78,98813.59
2022-07-13 14:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,21.30,16.03,1.86,98838.17
2022-07-13 15:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,22.46,16.00,2.28,98865.51
2022-07-13 16:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,22.68,16.11,2.29,98897.30
2022-07-13 17:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,22.69,16.33,2.67,98918.92
2022-07-13 18:00:00,"(42.886717, -78.878392)",era5,213.99,-5.00,23.15,16.48,2.99,98880.09
