datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),wind_speed (m/s),surface_pressure (Pa),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),absolute_humidity (g/m^3),rainfall (mm)
6/20/2022 1:00,"(42.886717, -78.878392)",13.42,0.61,2.4,99616.09,0.0,0.0,7.1015233823030055,0.0
6/20/2022 2:00,"(42.886717, -78.878392)",13.55,0.61,2.16,99642.87,0.0,0.0,7.158707441900969,0.0
6/20/2022 3:00,"(42.886717, -78.878392)",14.14,0.61,1.71,99665.45,0.0,0.0,7.423288360289824,0.0
6/20/2022 4:00,"(42.886717, -78.878392)",14.21,0.64,0.88,99635.73,0.0,0.0,7.821886287727592,0.0
6/20/2022 5:00,"(42.886717, -78.878392)",13.61,0.69,0.71,99636.31,0.0,0.0,8.12756048183472,0.0
6/20/2022 6:00,"(42.886717, -78.878392)",14.13,0.7,0.06,99721.24,0.0,0.0,8.513301556401446,0.0
6/20/2022 7:00,"(42.886717, -78.878392)",14.74,0.67,1.41,99750.0,0.0,0.0,8.45849199303694,0.0
6/20/2022 8:00,"(42.886717, -78.878392)",15.63,0.6,2.4,99749.89,0.0,0.0,7.996292334072008,0.0
6/20/2022 9:00,"(42.886717, -78.878392)",16.53,0.54,2.6,99760.55,0.0,0.0,7.598770030563684,0.0
6/20/2022 10:00,"(42.886717, -78.878392)",18.19,0.49,2.82,99736.69,0.0,0.0,7.614657771712942,0.0
6/20/2022 11:00,"(42.886717, -78.878392)",19.59,0.43,3.25,99731.44,0.0,0.0,7.258259841672113,0.0
6/20/2022 12:00,"(42.886717, -78.878392)",20.43,0.39,3.63,99749.79,0.0,0.0,6.914843913098649,0.0
6/20/2022 13:00,"(42.886717, -78.878392)",21.03,0.41,4.06,99733.83,0.0,0.0,7.527780823331348,0.0
6/20/2022 14:00,"(42.886717, -78.878392)",21.04,0.46,4.42,99719.12,0.0,0.0,8.450707755211283,0.0
6/20/2022 15:00,"(42.886717, -78.878392)",20.64,0.53,4.45,99667.05,0.0,0.0,9.51283046766629,0.0
6/20/2022 16:00,"(42.886717, -78.878392)",20.07,0.59,4.98,99626.34,0.0,0.0,10.243201527358634,0.0
6/20/2022 17:00,"(42.886717, -78.878392)",19.94,0.61,4.8,99559.04,0.0,0.0,10.51014420448977,0.0
6/20/2022 18:00,"(42.886717, -78.878392)",18.64,0.68,3.83,99537.02,0.0,0.0,10.852994329609713,0.0
6/20/2022 19:00,"(42.886717, -78.878392)",18.49,0.67,3.16,99548.82,0.0,0.0,10.598831586432855,0.0
6/20/2022 20:00,"(42.886717, -78.878392)",18.8,0.66,3.05,99493.52,0.0,0.0,10.633938201432915,0.0
6/20/2022 21:00,"(42.886717, -78.878392)",18.46,0.69,2.7,99482.84,0.01,0.0,10.895827720973982,0.01
6/20/2022 22:00,"(42.886717, -78.878392)",17.8,0.73,2.44,99538.79,0.0,0.0,11.084134197169053,0.0
6/20/2022 23:00,"(42.886717, -78.878392)",17.54,0.73,3.31,99459.07,0.0,0.0,10.913581449553098,0.0
6/21/2022 0:00,"(42.886717, -78.878392)",17.55,0.72,3.74,99415.53,0.0,0.0,10.770508531034423,0.0
6/21/2022 1:00,"(42.886717, -78.878392)",17.75,0.71,3.86,99347.12,0.34,0.0,10.748386220522272,0.34
6/21/2022 2:00,"(42.886717, -78.878392)",18.02,0.69,3.82,99292.44,0.3,0.0,10.614888558674227,0.3
6/21/2022 3:00,"(42.886717, -78.878392)",17.81,0.71,3.59,99301.84,0.1,0.0,10.786883827958944,0.1
6/21/2022 4:00,"(42.886717, -78.878392)",17.49,0.74,3.58,99283.95,0.18,0.0,11.030099933444973,0.18
6/21/2022 5:00,"(42.886717, -78.878392)",17.49,0.77,3.58,99301.97,0.6,0.0,11.477266146963013,0.6
6/21/2022 6:00,"(42.886717, -78.878392)",17.61,0.77,3.84,99318.43,0.73,0.0,11.559782765896596,0.73
6/21/2022 7:00,"(42.886717, -78.878392)",17.74,0.8,3.73,99335.41,0.02,0.0,12.103641153891537,0.02
6/21/2022 8:00,"(42.886717, -78.878392)",18.81,0.79,3.93,99303.3,0.0,0.0,12.73602664138048,0.0
6/21/2022 9:00,"(42.886717, -78.878392)",20.06,0.75,4.06,99330.54,0.0,0.0,13.013402729651377,0.0
6/21/2022 10:00,"(42.886717, -78.878392)",21.71,0.68,4.72,99286.12,0.0,0.0,12.98649950675259,0.0
6/21/2022 11:00,"(42.886717, -78.878392)",23.4,0.64,5.17,99225.67,0.0,0.0,13.466801083344414,0.0
6/21/2022 12:00,"(42.886717, -78.878392)",23.87,0.62,5.52,99158.67,0.0,0.0,13.399391706406139,0.0
6/21/2022 13:00,"(42.886717, -78.878392)",25.01,0.59,5.74,99114.73,0.0,0.0,13.59956613614809,0.0
6/21/2022 14:00,"(42.886717, -78.878392)",25.37,0.57,5.82,99053.21,0.0,0.0,13.406997400904135,0.0
6/21/2022 15:00,"(42.886717, -78.878392)",25.57,0.56,5.89,99050.49,0.0,0.0,13.320292431078466,0.0
6/21/2022 16:00,"(42.886717, -78.878392)",25.73,0.56,5.89,99024.15,0.0,0.0,13.440131108586561,0.0
6/21/2022 17:00,"(42.886717, -78.878392)",25.8,0.56,5.87,99003.53,0.0,0.0,13.492851261625821,0.0
6/21/2022 18:00,"(42.886717, -78.878392)",25.06,0.58,5.83,98947.98,0.0,0.0,13.406717904187925,0.0
6/21/2022 19:00,"(42.886717, -78.878392)",24.65,0.58,5.54,98932.66,0.0,0.0,13.100639404190218,0.0
6/21/2022 20:00,"(42.886717, -78.878392)",24.0,0.59,5.33,98903.57,0.0,0.0,12.845434084104307,0.0
6/21/2022 21:00,"(42.886717, -78.878392)",23.56,0.61,4.88,98912.39,0.0,0.0,12.95302248885139,0.0
6/21/2022 22:00,"(42.886717, -78.878392)",22.85,0.65,4.41,98902.41,0.0,0.0,13.254337956948664,0.0
6/21/2022 23:00,"(42.886717, -78.878392)",22.35,0.67,4.22,98890.17,0.0,0.0,13.276024374562356,0.0
6/22/2022 0:00,"(42.886717, -78.878392)",22.27,0.68,4.11,98857.09,0.0,0.0,13.412364194490484,0.0
6/22/2022 1:00,"(42.886717, -78.878392)",22.01,0.7,4.1,98825.15,0.0,0.0,13.60178997182314,0.0
6/22/2022 2:00,"(42.886717, -78.878392)",21.95,0.72,4.22,98781.3,0.0,0.0,13.942125428630748,0.0
6/22/2022 3:00,"(42.886717, -78.878392)",21.71,0.73,4.08,98794.88,0.27,0.0,13.94138917636675,0.27
6/22/2022 4:00,"(42.886717, -78.878392)",21.38,0.76,3.81,98730.75,0.17,0.0,14.239992433994713,0.17
6/22/2022 5:00,"(42.886717, -78.878392)",20.68,0.78,4.18,98710.7,0.0,0.0,14.032662335906727,0.0
6/22/2022 6:00,"(42.886717, -78.878392)",22.1,0.78,3.59,98687.95,0.0,0.0,15.235039704601727,0.0
6/22/2022 7:00,"(42.886717, -78.878392)",22.45,0.77,3.53,98692.4,0.0,0.0,15.345399535252824,0.0
6/22/2022 8:00,"(42.886717, -78.878392)",23.15,0.75,3.39,98706.55,0.0,0.0,15.557979206876075,0.0
6/22/2022 9:00,"(42.886717, -78.878392)",24.15,0.71,3.26,98691.3,0.0,0.0,15.590040685145045,0.0
6/22/2022 10:00,"(42.886717, -78.878392)",25.45,0.67,3.18,98683.88,0.0,0.0,15.829967223940585,0.0
6/22/2022 11:00,"(42.886717, -78.878392)",26.88,0.65,3.02,98662.88,0.0,0.0,16.63195078682305,0.0
6/22/2022 12:00,"(42.886717, -78.878392)",27.82,0.65,3.2,98627.9,0.0,0.0,17.51834823094228,0.0
6/22/2022 13:00,"(42.886717, -78.878392)",28.65,0.64,3.85,98596.7,0.0,0.0,18.052352739275257,0.0
6/22/2022 14:00,"(42.886717, -78.878392)",28.68,0.67,4.47,98579.69,0.01,0.0,18.92957971163542,0.01
6/22/2022 15:00,"(42.886717, -78.878392)",28.36,0.69,4.67,98545.23,0.26,0.0,19.156160366181137,0.26
6/22/2022 16:00,"(42.886717, -78.878392)",28.7,0.66,3.74,98543.82,0.02,0.0,18.667445834979596,0.02
6/22/2022 17:00,"(42.886717, -78.878392)",28.61,0.63,3.75,98475.25,0.0,0.0,17.731454079996713,0.0
6/22/2022 18:00,"(42.886717, -78.878392)",27.61,0.58,3.55,98447.86,0.01,0.0,15.451989099061269,0.01
6/22/2022 19:00,"(42.886717, -78.878392)",26.62,0.6,2.37,98487.48,0.0,0.0,15.132634211983751,0.0
6/22/2022 20:00,"(42.886717, -78.878392)",26.03,0.57,2.68,98545.34,0.0,0.0,13.911387597314228,0.0
6/22/2022 21:00,"(42.886717, -78.878392)",24.75,0.58,2.92,98627.12,0.0,0.0,13.174732767722563,0.0
6/22/2022 22:00,"(42.886717, -78.878392)",23.29,0.61,2.73,98704.19,0.0,0.0,12.755312207934836,0.0
6/22/2022 23:00,"(42.886717, -78.878392)",21.89,0.65,1.95,98736.76,0.0,0.0,12.54317827961814,0.0
6/23/2022 0:00,"(42.886717, -78.878392)",21.0,0.69,1.88,98741.56,0.0,0.0,12.646654456981683,0.0
6/23/2022 1:00,"(42.886717, -78.878392)",19.87,0.73,2.34,98727.2,0.0,0.0,12.526240215338438,0.0
6/23/2022 2:00,"(42.886717, -78.878392)",19.37,0.73,3.31,98715.95,0.0,0.0,12.163836260072005,0.0
6/23/2022 3:00,"(42.886717, -78.878392)",18.49,0.75,3.1,98709.12,0.0,0.0,11.864363716156179,0.0
6/23/2022 4:00,"(42.886717, -78.878392)",17.21,0.76,2.86,98691.55,0.0,0.0,11.14012650100413,0.0
6/23/2022 5:00,"(42.886717, -78.878392)",16.51,0.75,2.84,98695.41,0.0,0.0,10.541148979243053,0.0
6/23/2022 6:00,"(42.886717, -78.878392)",16.75,0.75,2.98,98719.78,0.0,0.0,10.694405178226042,0.0
